[0:100],[1:101],[0:10],[1:11],
1.4806613,1.512501,1.4467613,1.4364308,
1.4628064,1.4912502,1.459848,1.4326548,
1.4727657,1.4779052,1.4557716,1.4105928,
1.4610468,1.4731981,1.4281061,1.4257069,
1.4696292,1.467634,1.4460432,1.417131,
1.4564611,1.4589674,1.4329434,1.4117298,
1.4579205,1.4627917,1.4242172,1.4320012,
1.4607626,1.6031349,1.4367302,1.4226183,
1.4595463,1.4522551,1.420832,1.8407056,
1.4757868,1.4767294,1.4461679,1.4268611,
1.4923264,1.4621941,1.4741254,1.4169435,
1.5267898,1.4843692,1.6613539,1.4275082,
1.5129989,1.4897186,1.478091,1.4386024,
1.4951727,1.4904653,1.4370363,1.4172901,
1.4965154,1.634537,1.5117325,1.4253699,
1.4817775,1.4633322,1.4474629,1.4167961,
1.4681417,1.4687362,1.4437665,1.4243806,
1.4809885,1.500889,1.5263502,1.4175576,
1.4824815,1.4742356,1.5120482,1.4294229,
1.459429,1.4791054,1.5766745,1.4297893,
1.4848579,1.500465,1.7385714,1.4468587,
1.4680675,1.4609467,1.5816011,1.4264514,
1.5645715,1.4529936,1.5412835,1.455137,
1.5851626,1.4691805,1.463536,1.421428,
1.4964875,1.4591474,1.4583722,1.4337108,
1.4586437,1.4664461,1.4377286,1.4762622,
1.4763664,1.4667209,1.4444355,1.4343773,
1.4771683,1.4458041,1.447046,1.4256959,
1.5041837,1.4500294,1.4279591,1.4142851,
1.4761223,1.4740757,1.4338586,1.4423174,
1.477876,1.4538418,1.4074506,1.4219241,
1.4859238,1.4810396,1.4305265,1.4310474,
1.461875,1.4646903,1.4487678,1.4149311,
1.4890076,1.4620978,1.430584,1.4250042,
1.4540933,1.4616061,1.4253362,1.4362777,
1.4829547,1.4871069,1.4277517,1.4307235,
1.4565534,1.4830275,1.4204753,1.4311229,
1.4837702,1.4584346,1.4466612,1.4281871,
1.4694076,1.7231797,1.4628856,1.4255504,
1.4655785,1.4780792,1.4297057,1.4346231,
1.6236287,1.4894078,1.4422704,1.4211583,
1.485025,1.4976179,1.4672707,1.4255892,
1.4703688,1.4546458,1.4543186,1.4190259,
1.4808239,1.476533,1.440323,1.4360297,
1.4650791,1.4675128,1.4238278,1.4317903,
1.4844597,1.6121943,1.4481023,1.6020287,
1.4644281,1.585017,1.4742873,1.4199938,
1.6402342,1.4839449,1.6155214,1.4345175,
1.4683995,1.4952223,1.5403191,1.4395524,
1.4753075,1.4819444,1.667473,1.4314494,
1.4761577,1.4594379,1.4315115,1.4457579,
1.4955298,1.4635934,1.4637529,1.4117991,
1.4794212,1.6412246,1.4575717,1.90815,
1.4968961,1.4754723,1.4598302,1.4485561,
1.4583311,1.4717228,1.431505,1.4220982,
1.5089301,1.4699392,1.4573701,1.4356188,
1.5047572,1.4727692,1.4399745,1.4295336,
1.4674665,1.5221846,1.4202368,1.4197647,
1.4698172,1.4880422,1.4572861,1.4317785,
1.4646701,1.5995325,1.41379,1.4307385,
1.4735809,1.5325663,1.4338112,1.4389149,
1.4630884,1.4934879,1.4216693,1.4395757,
1.4529079,1.4459165,1.41716,1.4224422,
1.4703095,1.4529076,1.451423,1.4354367,
1.4836738,1.4654184,1.4333459,1.4247942,
1.4683964,1.4605677,1.4604137,1.4419062,
1.4451427,1.461331,1.4284108,1.4362388,
1.4699997,1.4665077,1.4301914,1.4388712,
1.460585,1.5011547,1.4564058,1.4397138,
1.4625176,1.4666387,1.4459182,1.4081929,
1.6340204,1.4514531,1.4363209,1.4374646,
1.4596651,1.485401,1.4629326,1.4311897,
1.4515356,1.454229,1.5048132,1.4247775,
1.4677709,1.4610724,1.447283,1.427463,
1.4829845,1.8794268,1.4189249,1.4317913,
1.4681222,1.4498428,1.5579129,1.4219805,
1.4675072,1.4702064,1.4830727,1.4234276,
1.6952151,1.4590009,1.4193511,1.4516619,
1.4686934,1.4634316,1.4513995,1.4330846,
1.4920996,1.4671386,1.4276003,1.4366466,
1.4707095,1.4599679,1.4636727,1.4681785,
1.4652433,1.4753313,1.4250221,1.5910864,
1.4632403,1.4637987,1.4234146,1.4298387,
1.4562703,1.9059781,1.4331602,1.4353608,
1.4633293,1.4732476,1.4244038,1.4250949,
1.4599887,1.4573885,1.4573207,1.4430625,
1.4687448,1.4649403,1.4610144,1.4351858,
1.4751741,1.4591081,1.4397324,1.5416324,
1.8502165,1.451292,1.4356005,1.5034757,
1.4538169,1.4622597,1.4299871,1.4349896,
1.4867752,1.5070145,1.4223273,1.4398392,
1.4964156,1.4944232,1.4288187,1.4263742,
1.6334172,1.6267502,1.5150789,1.6273516,
1.4708002,1.5489558,1.5310873,1.4117299,
1.4864387,1.4672166,1.5091056,1.4480339,
1.465446,1.5087973,1.436638,1.4340187,
1.4670077,1.4850848,1.4268991,1.4214052,
1.4564261,1.47708,1.4264598,1.4219753,
1.5090332,1.5800109,1.429879,1.4489068,
1.6320551,1.5916526,1.4375472,1.9073992,
1.490207757,1.496788186,1.461226711,1.45141452,<-AVERAGES
